otu	sim	del	ins	mis	len	score	hit
1	denovo1757	72.76	11	17	42	257	163.5	A133_DQ174725
2	denovo1188	84.67	7	24	59	587	188	H6_AJ291520
3	denovo1625	74.57	12	21	41	291	192	F5.1c_AM748593
4	denovo125	72.29	7	15	47	249	194	A120_AF180122
5	denovo288	73.96	12	16	41	265	195.5	B19a_JN558055
6	denovo5467	78.34	7	15	38	277	195.5	C3q_GU907655
7	denovo1640	74.47	15	12	45	282	195.5	C1107_DQ335359
8	denovo5467	77.74	8	14	41	283	195.5	C45a_AY765404
9	denovo608	80.59	11	22	40	376	195.5	D1.2_AM748617
10	denovo5233	74.81	12	13	43	270	198	D124_EU074897
11	denovo5233	69.72	8	16	62	284	198	E109_EU074913
12	denovo512	83.65	8	28	60	587	198	H6_AJ291520
13	denovo4472	81.12	15	19	37	376	203.5	D1.2_AM748617
14	denovo4195	79.79	9	19	48	376	203.5	D1.2_AM748617
15	denovo3690	74.82	15	12	44	282	204.5	C1107_DQ335359
16	denovo2911	76.19	15	15	40	294	204.5	F1_JN558066
17	denovo1437	74.74	13	18	41	285	205	E1_AF334659
18	denovo525	70.77	12	16	55	284	206	F4.8_AM748588;F4.8a_AM748589
19	denovo3128	74.24	7	17	52	295	206	F3.4_AM748570
20	denovo5263	77.46	13	14	37	284	206.5	E102_EU074924
21	denovo3116	85.17	7	30	49	580	206.5	H6_AJ291520
22	denovo3852	87.39	6	23	45	587	209	H6_AJ291520
23	denovo5235	66.67	16	11	52	237	209.5	A123_EF378618
24	denovo1432	79.86	12	16	29	283	211.5	C15.27_KC597689
25	denovo687	80.43	14	19	39	368	212.5	D1.1_AM748564
26	denovo3174	80.05	7	24	44	376	212.5	D1.2_AM748617
27	denovo447	74.47	14	26	56	376	213	D1.2_AM748617
28	denovo5417	77.04	4	14	44	270	213.5	D102_AF174573
29	denovo4210	76.22	14	14	40	286	213.5	G2_AM748598
30	denovo5098	72.54	10	19	49	284	214	F4.5_AM748585
31	denovo4331	86.2	10	32	39	587	214	H6_AJ291520
32	denovo2746	77.58	14	14	35	281	214.5	F4.2_AM748574
33	denovo3835	73.24	8	18	50	284	215	F109_AJ291527
34	denovo5634	79.62	10	17	48	368	215	D1.1_AM748564
35	denovo5196	74.48	14	14	45	286	216	G2_AM748598
36	denovo1677	73.15	9	12	48	257	216.5	A4.3_FN429763
37	denovo1185	75.26	10	18	43	287	216.5	E100_DQ011618
38	denovo356	77.46	17	8	39	284	217	F4.8_AM748588;F4.8a_AM748589
39	denovo3076	79.78	11	19	42	356	217	D1.1_AM748564
40	denovo2253	73.14	11	21	69	376	217	D1.2_AM748617
41	denovo17	81.25	14	19	36	368	217.5	D1.1_AM748564
42	denovo1908	70.82	10	12	53	257	218	A4.3_FN429763
43	denovo1991	70.07	15	13	57	284	218	E110_EU074914
44	denovo2879	82.96	11	31	58	587	218.5	H6_AJ291520
45	denovo2908	75.27	16	21	56	376	219	D1.2_AM748617
46	denovo4806	75.27	16	21	56	376	219	D1.2_AM748617
47	denovo1093	76.27	7	19	44	295	220	F3.4_AM748570
48	denovo1683	75.27	15	21	57	376	220	D1.2_AM748617
49	denovo2478	75.93	14	15	42	295	220.5	F3.3_AM748569
50	denovo2478	74.25	12	15	50	299	220.5	F3.2_AM748567
51	denovo2897	73.42	14	14	35	237	221.5	A123_EF378618
52	denovo1909	83.13	9	33	57	587	221.5	H6_AJ291520
53	denovo5202	77.22	15	14	35	281	222.5	F4.2_AM748574
54	denovo5350	76.95	14	16	38	295	222.5	F3.3_AM748569
55	denovo867	76.95	14	16	38	295	222.5	F3.3_AM748569
56	denovo523	81.25	8	21	40	368	222.5	D1.1_AM748564
57	denovo3242	82.45	10	30	63	587	222.5	H6_AJ291520
58	denovo2913	75.7	12	15	42	284	224.5	C1193_EU099827
59	denovo3798	79.26	15	23	40	376	224.5	D1.2_AM748617
60	denovo4192	86.37	8	26	46	587	224.5	H6_AJ291520
61	denovo5684	83.42	7	24	30	368	225.5	D1.1_AM748564
62	denovo526	74.64	17	12	41	276	226	C32.1_JF683335
63	denovo2605	71.6	12	14	47	257	226.5	A4.3_FN429763
64	denovo5220	80.85	9	20	43	376	226.5	D1.2_AM748617
65	denovo2247	83.13	11	32	56	587	226.5	H6_AJ291520
